directory,stage,accountStopPct,slippageBps,diagnostic,count,targetHits,targetFrequencyPct,medianPct,p10Pct,worstPct,lossFrequencyPct,worstDrawdownPct,unclosed,nonoverlapping_count,nonoverlapping_targetHits,nonoverlapping_targetFrequencyPct,nonoverlapping_medianPct,nonoverlapping_p10Pct,nonoverlapping_worstPct,nonoverlapping_lossFrequencyPct,nonoverlapping_worstDrawdownPct,nonoverlapping_unclosed
account-stop/stop10-development,development,10,5,development,46,12,26.08695652173913,-2.6623854887500134,-10.869820406999997,-13.762627243499992,58.69565217391305,-15.634823904635597,1,14,6,42.857142857142854,-0.36370086624998854,-9.326804468649993,-11.599330575,57.14285714285714,-15.634823904635597,0
account-stop/stop10-earlier,earlier,10,5,earlier,24,5,20.833333333333336,-7.064251896750001,-12.439139568749994,-13.378967729000014,75.0,-16.55836663550001,0,2,0,0.0,-13.150477788250004,-13.333269740850012,-13.378967729000014,100.0,-16.55836663550001,0
account-stop/stop15-development,development,15,5,development,46,14,30.434782608695656,0.032200164250001384,-15.14438861774999,-18.925231098500017,50.0,-20.21226813793351,2,14,6,42.857142857142854,0.1875260752499941,-11.345018409750011,-16.237232430000002,50.0,-16.492886949303642,1
account-stop/stop15-earlier,earlier,15,5,earlier,24,5,20.833333333333336,-2.8713351617500162,-16.476536004200007,-18.4603474225,58.333333333333336,-18.713232883864183,1,2,0,0.0,-14.68229427975002,-15.724955520350024,-15.985620830500025,100.0,-16.55836663550001,0
account-stop/stop20-development,development,20,5,development,46,14,30.434782608695656,0.032200164250001384,-18.658329618124988,-21.936815519499998,50.0,-23.850635029166167,2,14,6,42.857142857142854,0.1875260752499941,-16.357116353275,-19.779611772999985,50.0,-23.850635029166167,1
account-stop/stop20-earlier,earlier,20,5,earlier,24,5,20.833333333333336,-2.8713351617500162,-17.22150180209999,-21.974968509000004,58.333333333333336,-21.974968509000004,2,2,0,0.0,-9.114317622500012,-9.78983770290002,-9.95871772300002,100.0,-16.55836663550001,0
account-stop/stop15-extra25-validation,validation,15,5,extra25,18,9,50.0,10.355184077500002,-15.718977237249998,-18.458496435000004,44.44444444444444,-18.88832901061549,0,2,1,50.0,3.3025215667500047,-8.57474829984998,-11.544065766499978,50.0,-18.756183809984293,0
account-stop/stop15-cost10-validation,validation,15,10,cost,19,15,78.94736842105263,11.314276384500022,9.65240827000001,-14.05504273,5.263157894736842,-16.772257267852297,0,3,2,66.66666666666666,11.638534357499996,-8.916327312500002,-14.05504273,33.33333333333333,-16.772257267852297,0
account-stop/stop15-cost20-validation,validation,15,20,cost,19,15,78.94736842105263,11.436407594999976,9.516840376000001,-14.15954426999999,5.263157894736842,-16.760184119995337,0,3,2,66.66666666666666,11.436407594999976,-9.040353896999996,-14.15954426999999,33.33333333333333,-16.760184119995337,0
account-stop/stop15-extra25-confirmation,confirmation,15,5,extra25,13,8,61.53846153846154,10.731044180000016,-12.964771156,-16.60184175749999,30.76923076923077,-17.737128162499992,0,3,2,66.66666666666666,11.822398310000004,-3.6383379380000136,-7.503522000000018,33.33333333333333,-17.029608662636043,0
account-stop/stop15-cost10-confirmation,confirmation,15,10,cost,58,35,60.3448275862069,11.177272080000012,-10.985660531450009,-17.211133227499985,31.03448275862069,-22.12028320910854,0,4,3,75.0,11.428317275,-3.8612218277499952,-10.221755897499996,25.0,-21.01019227767733,0
account-stop/stop15-cost20-confirmation,confirmation,15,20,cost,58,34,58.620689655172406,10.906872945,-11.19022133619999,-17.373971924999985,31.03448275862069,-22.12708092448429,0,4,3,75.0,11.052002922499993,-4.103425243499997,-10.460689739999996,25.0,-21.009304141949304,0
account-stop/stop20-extra25-validation,validation,20,5,extra25,18,9,50.0,10.355184077500002,-16.662404937500003,-20.187101750000004,38.88888888888889,-24.482496217295658,0,2,1,50.0,8.143968461749989,0.13985611114999097,-1.861171976500009,50.0,-18.756183809984293,0
account-stop/stop20-cost10-validation,validation,20,10,cost,19,15,78.94736842105263,11.314276384500022,9.65240827000001,-1.024477545499991,5.263157894736842,-19.145769557216063,0,3,2,66.66666666666666,11.638534357499996,1.5081248351000065,-1.024477545499991,33.33333333333333,-19.145769557216063,0
account-stop/stop20-cost20-validation,validation,20,20,cost,19,15,78.94736842105263,11.436407594999976,9.516840376000001,-1.4629330460000034,5.263157894736842,-19.187083175121757,0,3,2,66.66666666666666,11.436407594999976,1.1169350821999924,-1.4629330460000034,33.33333333333333,-19.187083175121757,0
account-stop/stop20-extra25-confirmation,confirmation,20,5,extra25,13,10,76.92307692307693,11.822398310000004,5.450811564000016,2.592001775000008,0.0,-19.700278162499995,0,3,2,66.66666666666666,11.822398310000004,5.8857342620000175,4.401568250000021,0.0,-17.029608662636043,0
account-stop/stop20-cost10-confirmation,confirmation,20,10,cost,58,41,70.6896551724138,11.98679692500001,-11.98901811299998,-28.91978220999999,20.689655172413794,-31.18778199109168,0,4,3,75.0,11.428317275,-3.8612218277499952,-10.221755897499996,25.0,-21.01019227767733,0
account-stop/stop20-cost20-confirmation,confirmation,20,20,cost,58,40,68.96551724137932,11.719843362500004,-12.218936760749989,-29.16609402500001,20.689655172413794,-31.32696230145188,0,4,3,75.0,11.052002922499993,-4.103425243499997,-10.460689739999996,25.0,-21.009304141949304,0
