stage,accountStopPct,threshold,count,targetHits,targetFrequencyPct,medianPct,p10Pct,worstPct,lossFrequencyPct,worstDrawdownPct,unclosed,nonoverlapping_count,nonoverlapping_targetHits,nonoverlapping_targetFrequencyPct,nonoverlapping_medianPct,nonoverlapping_p10Pct,nonoverlapping_worstPct,nonoverlapping_lossFrequencyPct,nonoverlapping_worstDrawdownPct,nonoverlapping_unclosed
validation,10,0.25,37,17,45.94594594594595,9.88708142750001,-11.178876793999995,-14.05504273,48.64864864864865,-16.772257267852297,0,3,2,66.66666666666666,11.684146132499995,-3.1209167039000008,-6.822182413,33.33333333333333,-11.19161782712853,0
validation,10,0.3,19,9,47.368421052631575,9.97435633124999,-10.511245770499986,-14.05504273,42.10526315789473,-16.772257267852297,0,3,2,66.66666666666666,11.684146132499995,-8.907204957500001,-14.05504273,33.33333333333333,-16.772257267852297,0
validation,10,0.35,9,5,55.55555555555556,11.2825392435,-4.395917572400004,-6.611126609999996,22.22222222222222,-11.918097405000005,0,1,1,100.0,11.684146132499995,11.684146132499995,11.684146132499995,0.0,-7.752731364411336,0
validation,15,0.25,37,24,64.86486486486487,11.125491620000005,-14.17426215350001,-18.458496435000004,24.324324324324326,-18.88832901061549,0,3,2,66.66666666666666,11.684146132499995,-6.898423386699983,-11.544065766499978,33.33333333333333,-18.756183809984293,0
validation,15,0.3,19,15,78.94736842105263,11.36301538450002,9.65824107000001,-14.05504273,5.263157894736842,-16.772257267852297,0,3,2,66.66666666666666,11.684146132499995,-8.907204957500001,-14.05504273,33.33333333333333,-16.772257267852297,0
validation,15,0.35,9,7,77.77777777777779,11.684146132499995,9.956901350499994,9.88708142750001,0.0,-11.918097405000005,0,1,1,100.0,11.684146132499995,11.684146132499995,11.684146132499995,0.0,-7.752731364411336,0
validation,20,0.25,37,24,64.86486486486487,11.125491620000005,-8.67466714850001,-20.187101750000004,21.62162162162162,-24.482496217295658,0,3,2,66.66666666666666,11.684146132499995,0.8478916452999918,-1.861171976500009,33.33333333333333,-18.756183809984293,0
validation,20,0.3,19,15,78.94736842105263,11.36301538450002,9.65824107000001,-1.024477545499991,5.263157894736842,-19.145769557216063,0,3,2,66.66666666666666,11.684146132499995,1.5172471901000062,-1.024477545499991,33.33333333333333,-19.145769557216063,0
validation,20,0.35,9,7,77.77777777777779,11.684146132499995,9.956901350499994,9.88708142750001,0.0,-11.918097405000005,0,1,1,100.0,11.684146132499995,11.684146132499995,11.684146132499995,0.0,-7.752731364411336,0
confirmation,10,0.25,71,38,53.52112676056338,10.463444970000001,-11.157431494999992,-14.99564404499999,39.436619718309856,-22.114609391012287,0,5,4,80.0,12.16251863500002,4.124913242000009,-0.46874995999999225,20.0,-11.41357123239013,0
confirmation,10,0.3,58,31,53.44827586206896,10.311725645000003,-10.905630761200008,-14.99564404499999,39.6551724137931,-22.114609391012287,0,4,2,50.0,3.7695613550000004,-8.164688328749989,-10.174003897499983,50.0,-21.005317080936713,0
confirmation,10,0.35,38,19,50.0,10.33367690750001,-10.467237679100014,-14.99564404499999,39.473684210526315,-22.114609391012287,0,3,3,100.0,12.89861940999999,12.309738790000013,12.16251863500002,0.0,-8.102594001925967,0
confirmation,15,0.25,71,44,61.97183098591549,11.033680210000018,-11.343986062500012,-17.186758227499986,30.985915492957744,-22.114609391012287,0,5,4,80.0,12.16251863500002,-0.0959499820000076,-7.503522000000018,20.0,-17.029608662636043,0
confirmation,15,0.3,58,36,62.06896551724138,11.211596942500012,-10.961597131450013,-17.186758227499986,31.03448275862069,-22.114609391012287,0,4,3,75.0,11.505945267500007,-3.8171803147499848,-10.174003897499983,25.0,-21.005317080936713,0
confirmation,15,0.35,38,20,52.63157894736842,11.196943645000012,-10.467237679100014,-14.99564404499999,36.84210526315789,-22.114609391012287,0,3,3,100.0,12.89861940999999,12.309738790000013,12.16251863500002,0.0,-8.102594001925967,0
confirmation,20,0.25,71,52,73.23943661971832,11.87964812000002,-10.174003897499983,-28.89600521,16.901408450704224,-31.172693959435406,0,5,4,80.0,12.16251863500002,7.047104168000016,4.401568250000021,0.0,-17.029608662636043,0
confirmation,20,0.3,58,42,72.41379310344827,12.079500562500012,-11.951836012999987,-28.89600521,20.689655172413794,-31.172693959435406,0,4,3,75.0,11.505945267500007,-3.8171803147499848,-10.174003897499983,25.0,-21.005317080936713,0
confirmation,20,0.35,38,26,68.42105263157895,12.530569022500003,-9.663596377499992,-13.827679095,21.052631578947366,-23.586835284691297,0,3,3,100.0,12.89861940999999,12.309738790000013,12.16251863500002,0.0,-8.102594001925967,0
