directory,stage,candidate,threshold,count,targetHits,targetFrequencyPct,medianPct,p10Pct,worstPct,lossFrequencyPct,worstDrawdownPct,unclosed,nonoverlapping_count,nonoverlapping_targetHits,nonoverlapping_targetFrequencyPct,nonoverlapping_medianPct,nonoverlapping_p10Pct,nonoverlapping_worstPct,nonoverlapping_lossFrequencyPct,nonoverlapping_worstDrawdownPct,nonoverlapping_unclosed
entry/daily-validation,validation,recovery-60-3-monthly,0.25,37,19,51.35135135135135,10.07842082250001,-7.277620016400001,-10.663147119999994,37.83783783783784,-12.980989230634332,0,3,0,0.0,-7.560504103499999,-10.042618516699996,-10.663147119999994,100.0,-12.980989230634332,0
entry/daily-validation,validation,recovery-60-3-monthly,0.3,19,11,57.89473684210527,10.762013714999984,-4.189856593999992,-7.560504103499999,31.57894736842105,-8.939597709206748,0,3,0,0.0,-0.903143620000002,-6.229032006799999,-7.560504103499999,100.0,-7.875479628500004,0
entry/daily-validation,validation,recovery-60-3-monthly,0.35,9,6,66.66666666666666,11.645968920000026,-1.0174011849999909,-3.74428712499999,22.22222222222222,-7.091939484999987,0,1,0,0.0,-0.33567969999999114,-0.33567969999999114,-0.33567969999999114,100.0,-4.3263445556496745,0
entry/daily-validation,validation,recovery-40-3-monthly,0.25,37,5,13.513513513513514,0.17497637250001308,-5.878046699200004,-8.775049229999986,45.94594594594595,-11.073909197997567,1,3,0,0.0,-3.7645165749999987,-6.666721263000001,-7.392272435000002,100.0,-10.295145516802906,0
entry/daily-validation,validation,recovery-40-3-monthly,0.3,19,3,15.789473684210526,0.4713404450000125,-5.527674867900021,-8.775049229999986,42.10526315789473,-11.073909197997567,0,3,0,0.0,-2.2732405225000085,-3.4662613645000007,-3.7645165749999987,66.66666666666666,-10.295145516802906,0
entry/daily-validation,validation,recovery-40-3-monthly,0.35,9,2,22.22222222222222,0.15311830000002136,-5.527674867900021,-7.094936852499989,44.44444444444444,-7.9898975256814335,0,1,0,0.0,-3.7645165749999987,-3.7645165749999987,-3.7645165749999987,100.0,-5.357249332336744,0
entry/daily-validation,validation,recovery-80-3-monthly,0.25,37,20,54.054054054054056,10.373850210000013,-3.7409061909999974,-9.574763247000007,27.027027027027028,-10.695174465319713,1,3,0,0.0,-2.1088401525000022,-8.081578628100006,-9.574763247000007,100.0,-10.695174465319713,0
entry/daily-validation,validation,recovery-80-3-monthly,0.3,19,13,68.42105263157895,11.642757444999985,-0.7513669244999899,-2.1088401525000022,15.789473684210526,-10.120394815262014,0,3,0,0.0,-0.8148447224999855,-1.8500410664999989,-2.1088401525000022,66.66666666666666,-10.120394815262014,0
entry/daily-validation,validation,recovery-80-3-monthly,0.35,9,5,55.55555555555556,10.189244737500003,-0.7513669244999899,-0.8148447224999855,22.22222222222222,-5.479391347541284,0,1,0,0.0,-0.8148447224999855,-0.8148447224999855,-0.8148447224999855,100.0,-4.9382995159513055,0
entry/daily-validation,validation,momentum-20-5-monthly,0.25,37,17,45.94594594594595,9.88708142750001,-11.178876793999995,-14.05504273,48.64864864864865,-16.772257267852297,0,3,2,66.66666666666666,11.684146132499995,-3.1209167039000008,-6.822182413,33.33333333333333,-11.19161782712853,0
entry/daily-validation,validation,momentum-20-5-monthly,0.3,19,9,47.368421052631575,9.97435633124999,-10.511245770499986,-14.05504273,42.10526315789473,-16.772257267852297,0,3,2,66.66666666666666,11.684146132499995,-8.907204957500001,-14.05504273,33.33333333333333,-16.772257267852297,0
entry/daily-validation,validation,momentum-20-5-monthly,0.35,9,5,55.55555555555556,11.2825392435,-4.395917572400004,-6.611126609999996,22.22222222222222,-11.918097405000005,0,1,1,100.0,11.684146132499995,11.684146132499995,11.684146132499995,0.0,-7.752731364411336,0
entry/daily-confirmation,confirmation,recovery-60-3-monthly,0.25,71,39,54.929577464788736,10.72691507000001,-4.709063206499975,-10.029108720000002,21.12676056338028,-10.75510880460705,2,5,2,40.0,6.536748817499993,-4.136399579999986,-8.91413729999998,20.0,-10.75510880460705,0
entry/daily-confirmation,confirmation,recovery-60-3-monthly,0.3,58,36,62.06896551724138,11.32482788375,-0.7272900242499843,-8.035123368999987,12.068965517241379,-8.861861673760618,2,4,0,0.0,0.5511782137500087,-6.202941530049987,-8.035123368999987,50.0,-8.634477562624099,1
entry/daily-confirmation,confirmation,recovery-60-3-monthly,0.35,38,25,65.78947368421053,12.262374893750005,-0.5106469906499616,-8.035123368999987,10.526315789473683,-8.035123368999987,2,3,2,66.66666666666666,10.959023497499999,4.615970299500005,3.030207000000007,0.0,-3.1199382699875877,0
entry/daily-confirmation,confirmation,recovery-40-3-monthly,0.25,71,42,59.154929577464785,11.644817512499994,-5.497989962000016,-8.91190191500002,19.718309859154928,-10.387090808695575,3,5,3,60.0,11.25603503499999,-4.8053152010000115,-8.122159995000022,20.0,-10.387090808695575,0
entry/daily-confirmation,confirmation,recovery-40-3-monthly,0.3,58,39,67.24137931034483,12.119780124999991,-0.03730544525000762,-7.159277358000016,10.344827586206897,-9.502819884182866,3,4,1,25.0,-0.04493351749999541,-1.9564795143000047,-2.683619724000008,50.0,-6.848421304693142,1
entry/daily-confirmation,confirmation,recovery-40-3-monthly,0.35,38,25,65.78947368421053,12.605475992500004,-1.0092670904999856,-7.159277358000016,13.157894736842104,-9.502819884182866,3,3,2,66.66666666666666,12.564873402499988,2.6489362725000025,0.16995199000000571,0.0,-5.975215170422965,0
entry/daily-confirmation,confirmation,recovery-80-3-monthly,0.25,71,26,36.61971830985916,4.746154772499955,-3.2460144224999987,-7.047203783000022,29.577464788732392,-10.818573784811337,3,5,2,40.0,6.5674390774999925,1.1256537854999937,0.17303449249999048,0.0,-8.103122309718703,0
entry/daily-confirmation,confirmation,recovery-80-3-monthly,0.3,58,24,41.37931034482759,6.576874504749997,-2.6927347077499975,-7.047203783000022,24.137931034482758,-10.818573784811337,3,4,1,25.0,1.2630775537499972,-3.9913469362500074,-5.689740930000009,50.0,-7.249836232879348,1
entry/daily-confirmation,confirmation,recovery-80-3-monthly,0.35,38,16,42.10526315789473,6.869872731750004,-1.6550468660000202,-7.047203783000022,15.789473684210526,-8.346854257876736,3,3,1,33.33333333333333,6.5674390774999925,3.3571539954999974,2.5545827249999986,0.0,-4.896591371628456,0
entry/daily-confirmation,confirmation,momentum-20-5-monthly,0.25,71,38,53.52112676056338,10.463444970000001,-11.157431494999992,-14.99564404499999,39.436619718309856,-22.114609391012287,0,5,4,80.0,12.16251863500002,4.124913242000009,-0.46874995999999225,20.0,-11.41357123239013,0
entry/daily-confirmation,confirmation,momentum-20-5-monthly,0.3,58,31,53.44827586206896,10.311725645000003,-10.905630761200008,-14.99564404499999,39.6551724137931,-22.114609391012287,0,4,2,50.0,3.7695613550000004,-8.164688328749989,-10.174003897499983,50.0,-21.005317080936713,0
entry/daily-confirmation,confirmation,momentum-20-5-monthly,0.35,38,19,50.0,10.33367690750001,-10.467237679100014,-14.99564404499999,39.473684210526315,-22.114609391012287,0,3,3,100.0,12.89861940999999,12.309738790000013,12.16251863500002,0.0,-8.102594001925967,0
entry/cost10-validation,validation,recovery-60-3-monthly,0.3,19,11,57.89473684210527,10.725466524999995,-4.2083328479999915,-7.560504103499999,31.57894736842105,-8.947500413243448,0,3,0,0.0,-0.9416996199999916,-6.236743206799997,-7.560504103499999,100.0,-7.875479628500004,0
