kind,value,stage,seed,rebalanceOffsetBars,reused,passes,count,targetHits,targetFrequencyPct,medianPct,p10Pct,worstPct,lossFrequencyPct,worstDrawdownPct,unclosed,nonoverlapping_count,nonoverlapping_targetHits,nonoverlapping_targetFrequencyPct,nonoverlapping_medianPct,nonoverlapping_p10Pct,nonoverlapping_worstPct,nonoverlapping_lossFrequencyPct,nonoverlapping_worstDrawdownPct,nonoverlapping_unclosed
baseline,0,validation,204,0,True,True,19,15,78.94736842105263,11.36301538450002,9.65824107000001,-14.05504273,5.263157894736842,-16.772257267852297,0,3,2,66.66666666666666,11.684146132499995,-8.907204957500001,-14.05504273,33.33333333333333,-16.772257267852297,0
baseline,0,confirmation,204,0,True,True,58,36,62.06896551724138,11.211596942500012,-10.961597131450013,-17.186758227499986,31.03448275862069,-22.114609391012287,0,4,3,75.0,11.505945267500007,-3.8171803147499848,-10.174003897499983,25.0,-21.005317080936713,0
seed,205,validation,205,0,False,True,19,15,78.94736842105263,11.42777422750003,9.689733053999992,-14.109948735,5.263157894736842,-16.788762524751288,0,3,2,66.66666666666666,11.42777422750003,-9.002404142499994,-14.109948735,33.33333333333333,-16.788762524751288,0
seed,205,confirmation,205,0,False,True,58,36,62.06896551724138,11.254933623749995,-11.180560982150004,-17.186758227499976,27.586206896551722,-22.141872521596937,0,4,3,75.0,11.312068130000007,-3.703745145000001,-10.011953655000006,25.0,-20.967102598366083,0
seed,206,validation,206,0,False,True,19,16,84.21052631578947,11.49839531100001,9.95690135049999,-14.373433879999997,5.263157894736842,-17.147718264360513,0,3,2,66.66666666666666,11.543651422500002,-9.190016819499997,-14.373433879999997,33.33333333333333,-17.147718264360513,0
seed,206,confirmation,206,0,False,True,58,35,60.3448275862069,11.025725362500005,-11.3465816685,-17.186758227499976,29.310344827586203,-22.113938811761567,0,4,3,75.0,11.312068129999997,-3.827378397749988,-10.188572587499989,25.0,-21.10300264419216,0
offset,1,validation,204,1,False,True,19,15,78.94736842105263,11.470001090000004,9.824348663500011,8.742879640000002,0.0,-14.241300759999987,0,3,3,100.0,17.527434985,15.197932766200006,14.615557211500008,0.0,-14.241300759999987,0
offset,1,confirmation,204,1,False,True,58,38,65.51724137931035,12.02108337750002,-11.3465816685,-20.354732480000003,27.586206896551722,-22.114609391012287,0,4,3,75.0,13.022333325000002,-2.8392550147499973,-9.444850297499997,25.0,-21.403448206102414,0
offset,2,validation,204,2,False,False,19,15,78.94736842105263,11.2825392435,9.956840165499994,-15.277595124999998,5.263157894736842,-17.3692201875,0,3,1,33.33333333333333,9.88708142750001,-10.244659814499997,-15.277595124999998,33.33333333333333,-17.3692201875,0
offset,2,confirmation,204,2,False,True,58,37,63.793103448275865,11.82676681625,-13.5382347703,-17.186758227499986,31.03448275862069,-22.114609391012287,0,4,3,75.0,12.707847310000009,-1.8593808836249899,-7.140591963749987,25.0,-21.294599776178615,0
offset,3,validation,204,3,False,True,19,18,94.73684210526315,11.950397680499991,10.385324337000018,9.97435633124999,0.0,-13.939217501398094,0,3,3,100.0,12.267950682000016,11.479621531200003,11.2825392435,0.0,-13.939217501398094,0
offset,3,confirmation,204,3,False,True,58,39,67.24137931034483,11.842876312499994,-12.002901723499983,-20.354732480000003,27.586206896551722,-22.114609391012287,0,4,3,75.0,10.541806197500016,-0.06620820474999167,-4.448871572499991,25.0,-21.037891469407867,0
offset,4,validation,204,4,False,True,19,16,84.21052631578947,11.950397680499991,9.811650140999992,-10.313948955000019,5.263157894736842,-14.695370305878175,0,3,3,100.0,12.26967701149999,11.6299362743,11.470001090000004,0.0,-9.154479533549875,0
offset,4,confirmation,204,4,False,False,58,37,63.793103448275865,11.82676681625,-12.002901723499983,-20.354732480000003,27.586206896551722,-22.114609391012287,0,4,2,50.0,10.269536617499996,-5.09522875024999,-11.352638082499977,25.0,-21.28299707666075,0
