directory,candidate,stage,uncertainActionAccounts,count,targetHits,targetFrequencyPct,medianPct,p10Pct,worstPct,lossFrequencyPct,worstDrawdownPct,unclosed,nonoverlapping_count,nonoverlapping_targetHits,nonoverlapping_targetFrequencyPct,nonoverlapping_medianPct,nonoverlapping_p10Pct,nonoverlapping_worstPct,nonoverlapping_lossFrequencyPct,nonoverlapping_worstDrawdownPct,nonoverlapping_unclosed,majorityData_count,majorityData_targetHits,majorityData_targetFrequencyPct,majorityData_medianPct,majorityData_p10Pct,majorityData_worstPct,majorityData_lossFrequencyPct,majorityData_worstDrawdownPct,majorityData_unclosed
followup/ema-development,ema-5-20-0.3,development,3,46,2,4.3478260869565215,-4.632162131249995,-10.90217992125,-11.726186484999989,78.26086956521739,-11.982659961069576,0,14,1,7.142857142857142,-4.76925233499998,-10.615162504299992,-11.696395027500007,92.85714285714286,-11.696395027500007,0,13,0,0.0,-4.960750402500014,-11.591333614600005,-11.726186484999989,76.92307692307693,-11.726186484999989,0
followup/ema-development,ema-5-20-1.0,development,1,46,2,4.3478260869565215,-3.6245235882499784,-9.339257024749998,-10.722557427499979,67.3913043478261,-12.474479935261707,0,14,0,0,-6.362084359999987,-9.167784598099992,-10.1616919875,85.71428571428571,-10.737191214244323,0,13,0,0.0,-2.973473706499974,-9.100590915399987,-9.438017590000003,69.23076923076923,-10.737191214244323,0
followup/ema-development,ema-12-26-0.3,development,0,46,2,4.3478260869565215,-4.6564735174999985,-11.091444971249997,-12.083831902500009,78.26086956521739,-12.721340457688102,0,14,0,0,-4.512686843500013,-11.307940391749991,-11.381145012499994,78.57142857142857,-11.381145012499994,0,13,0,0.0,-3.7844337475000045,-10.803295184500016,-10.90962004499999,92.3076923076923,-11.146872821890897,0
followup/ema-development,ema-12-26-1.0,development,1,46,1,2.1739130434782608,-6.231699746249991,-10.66722894375,-12.999237519999996,82.6086956521739,-13.013751632217973,0,14,0,0,-7.316680191250002,-10.979039785249979,-12.999237519999996,85.71428571428571,-13.013751632217973,0,13,0,0.0,-5.232524642500014,-10.460242578100003,-10.73681045999999,76.92307692307693,-10.73681045999999,0
followup/ema-development,ema-20-60-0.3,development,1,46,3,6.521739130434782,-4.793705336249992,-10.79233142999999,-11.713052745000018,82.6086956521739,-12.028731209181764,0,14,1,7.142857142857142,-6.106256675999988,-10.592881824899983,-11.237440617500027,78.57142857142857,-12.028731209181764,0,13,0,0.0,-2.061678951000001,-10.341319818400006,-11.713052745000018,92.3076923076923,-12.028731209181764,0
followup/ema-development,ema-20-60-1.0,development,1,46,2,4.3478260869565215,-6.8037489610000055,-10.603719320000003,-11.409641342499988,89.13043478260869,-11.409641342499988,0,14,0,0,-6.239476850000009,-10.64626965400002,-11.409641342499988,85.71428571428571,-11.409641342499988,0,13,0,0.0,-6.829242057500007,-10.76733556550002,-11.137834910000011,100.0,-11.360634210286257,0
followup/ema-validation,ema-5-20-0.3,validation,1,45,7,15.555555555555555,-2.533415398500005,-10.788910108499985,-11.785527759999992,51.11111111111111,-12.993816940454517,0,13,2,15.384615384615385,-2.533415398500005,-11.316297942999991,-11.785527759999992,53.84615384615385,-11.785527759999992,0,37,7,18.91891891891892,1.2054508374999884,-10.791386491000024,-11.785527759999992,43.24324324324324,-12.993816940454517,0
followup/ema-validation,ema-12-26-0.3,validation,1,45,6,13.333333333333334,-3.386393857500003,-10.708243248499992,-11.592772450000021,64.44444444444444,-12.312828310374456,0,13,2,15.384615384615385,-7.521137207500006,-11.122499117500004,-11.35508123750001,61.53846153846154,-12.312828310374456,0,37,6,16.216216216216218,-2.1658904500000187,-10.678064998999982,-11.592772450000021,56.75675675675676,-12.312828310374456,0
followup/ema-validation,ema-20-60-0.3,validation,3,45,4,8.88888888888889,-4.241082932500007,-10.716973568999997,-11.342500152500001,62.22222222222222,-12.274901898119117,0,13,0,0,-7.7335863575,-10.661265071499999,-11.1632145325,69.23076923076923,-11.517084322872284,0,37,4,10.81081081081081,-0.8737684100000087,-10.704433968499997,-11.230580247499978,54.054054054054056,-12.274901898119117,0
followup/ema-confirmation,ema-5-20-0.3,confirmation,2,29,7,24.137931034482758,0.12295336299998905,-10.2961988734,-11.591891868500003,48.275862068965516,-12.511295748363215,0,9,2,22.22222222222222,0.1243823775000319,-10.503671455299996,-11.591891868500003,44.44444444444444,-12.511295748363215,0,29,7,24.137931034482758,0.12295336299998905,-10.2961988734,-11.591891868500003,48.275862068965516,-12.511295748363215,0
followup/ema-confirmation,ema-12-26-0.3,confirmation,2,29,11,37.93103448275862,1.4304711075000087,-8.58299999480002,-10.65713936399999,48.275862068965516,-12.538796372851124,0,9,1,11.11111111111111,-1.2410355090000214,-10.216062246800002,-10.65713936399999,66.66666666666666,-10.83092935144645,0,29,11,37.93103448275862,1.4304711075000087,-8.58299999480002,-10.65713936399999,48.275862068965516,-12.538796372851124,0
followup/ema-confirmation,ema-20-60-0.3,confirmation,0,29,11,37.93103448275862,5.669157859999974,-7.444877334499995,-10.011351459000018,27.586206896551722,-10.683452802631543,0,9,2,22.22222222222222,4.637962610500002,-9.372702923800007,-10.011351459000018,33.33333333333333,-10.48076720415352,0,29,11,37.93103448275862,5.669157859999974,-7.444877334499995,-10.011351459000018,27.586206896551722,-10.683452802631543,0
followup/earnings-development,earnings-60-3,development,0,46,1,2.1739130434782608,0,-5.464247532500011,-10.283673262500004,36.95652173913043,-11.379249891281951,0,14,0,0,-0.1834208587499997,-4.303997975000003,-5.5812262400000145,50,-11.379249891281951,0,13,0,0.0,-2.9197835799999794,-8.797495332999993,-10.283673262500004,84.61538461538461,-11.379249891281951,0
followup/earnings-development,earnings-60-5,development,0,46,0,0,0,-4.438887018749993,-11.703322247500003,39.130434782608695,-11.703322247500003,0,14,0,0,-0.10448308500000669,-3.1937886497500023,-5.598080905000002,50,-10.589687908991118,0,13,0,0.0,-2.8269458499999955,-5.576484054,-11.703322247500003,84.61538461538461,-11.703322247500003,0
followup/earnings-development,earnings-60-8,development,0,46,0,0,0,-2.7762534925000026,-10.20279398249999,39.130434782608695,-10.20279398249999,0,14,0,0,-0.06189719749998823,-1.9614535749999862,-4.9925923550000135,50,-8.355215986382902,0,13,0,0.0,-1.659851925,-4.687002199000012,-10.20279398249999,84.61538461538461,-10.20279398249999,0
followup/earnings-development,earnings-126-3,development,0,46,0,0,0,-7.259894043749992,-13.376361450000008,41.30434782608695,-13.376361450000008,0,14,0,0,0,-6.686507094500007,-7.047773324999984,42.857142857142854,-10.102204503037694,0,13,0,0.0,-4.412814705000012,-8.242601240000004,-13.376361450000008,84.61538461538461,-13.376361450000008,0
followup/earnings-development,earnings-126-5,development,0,46,0,0,0,-6.034042499999981,-10.294506030000006,39.130434782608695,-10.569311264366888,0,14,0,0,0,-5.41459052249999,-8.730264624999995,42.857142857142854,-10.509758922391176,0,13,0,0.0,-2.625288155000016,-8.265412479999991,-10.294506030000006,84.61538461538461,-10.509758922391176,0
followup/earnings-development,earnings-126-8,development,0,46,0,0,0,-3.6295616749999815,-7.149585372500001,39.130434782608695,-9.359577418419695,0,14,0,0,0,-3.292087924999992,-5.877079157499998,42.857142857142854,-9.359577418419695,0,13,0,0.0,-1.6327629575000002,-5.508955320999995,-7.149585372500001,84.61538461538461,-9.359577418419695,0
followup/earnings-development,earnings-252-3,development,0,46,0,0,0,-8.467323912500008,-13.077459800000014,36.95652173913043,-13.077459800000014,0,14,0,0,-0.314396620000007,-9.505377430249993,-11.552237775000007,50,-12.151414280888062,0,13,0,0.0,-0.9564903999999874,-11.421957281500003,-13.077459800000014,69.23076923076923,-13.077459800000014,0
followup/earnings-development,earnings-252-5,development,0,46,0,0,0,-4.605036455000006,-10.983609250000004,34.78260869565217,-11.509050356279161,0,14,0,0,-0.12721391500000734,-5.922464079249997,-8.159920315000003,50,-11.509050356279161,0,13,0,0.0,-0.5682120000000013,-7.903189472500001,-10.983609250000004,69.23076923076923,-11.509050356279161,0
followup/earnings-development,earnings-252-8,development,0,46,0,0,0,-2.8947973549999895,-10.441488262499988,34.78260869565217,-12.20674044473633,0,14,0,0,-0.07727718999999134,-3.7293813392500104,-10.116374409999995,50,-12.20674044473633,0,13,0,0.0,-0.35341219999999174,-8.958913088499997,-10.441488262499988,69.23076923076923,-12.20674044473633,0
followup/earnings-validation,earnings-60-5,validation,3,45,11,24.444444444444443,-1.291008725000009,-10.256224206000004,-11.009717099999994,53.333333333333336,-11.281939645054806,0,13,3,23.076923076923077,-1.8205684699999947,-9.81998584500001,-10.814735564999978,53.84615384615385,-11.26121010213199,0,37,11,29.72972972972973,1.4062390399999902,-10.303408554500002,-11.009717099999994,45.94594594594595,-11.281939645054806,0
