stopPct,stage,reused,directory,count,targetHits,targetFrequencyPct,medianPct,p10Pct,worstPct,lossFrequencyPct,worstDrawdownPct,unclosed,nonoverlapping_count,nonoverlapping_targetHits,nonoverlapping_targetFrequencyPct,nonoverlapping_medianPct,nonoverlapping_p10Pct,nonoverlapping_worstPct,nonoverlapping_lossFrequencyPct,nonoverlapping_worstDrawdownPct,nonoverlapping_unclosed
6,development,False,position-stop/stop6-development,46,6,13.043478260869565,-1.4980823250000108,-6.9071875950000035,-11.587330854999989,63.04347826086957,-11.919515462835706,1,14,2,14.285714285714285,-2.341040822500001,-6.301742720500008,-6.943206142500003,78.57142857142857,-10.161929802075974,0
6,validation,False,position-stop/stop6-validation,19,8,42.10526315789473,3.853758757500003,-5.857979065100003,-7.664166659999994,31.57894736842105,-10.65860480909998,0,3,0,0,-0.903143620000002,-5.274101528400019,-6.3668410055000235,66.66666666666666,-7.523967426541445,0
6,confirmation,False,position-stop/stop6-confirmation,58,36,62.06896551724138,11.220212224750014,-2.115902223250002,-6.751251275000003,17.24137931034483,-9.690057518255458,2,4,0,0,0.5374577687499991,-4.188333674250014,-5.145351765000017,50,-9.690057518255458,1
8,development,True,entry/monthly-development,46,7,15.217391304347828,-0.7314558725000087,-7.875079143750002,-11.587973680000008,60.86956521739131,-11.920155872609806,1,14,3,21.428571428571427,-2.4924736249999913,-5.981398035250014,-7.851586189999993,71.42857142857143,-8.120446777774537,0
8,validation,True,entry/daily-validation,19,11,57.89473684210527,10.762013714999984,-4.189856593999992,-7.560504103499999,31.57894736842105,-8.939597709206748,0,3,0,0.0,-0.903143620000002,-6.229032006799999,-7.560504103499999,100.0,-7.875479628500004,0
8,confirmation,True,entry/daily-confirmation,58,36,62.06896551724138,11.32482788375,-0.7272900242499843,-8.035123368999987,12.068965517241379,-8.861861673760618,2,4,0,0.0,0.5511782137500087,-6.202941530049987,-8.035123368999987,50.0,-8.634477562624099,1
12,development,False,position-stop/stop12-development,46,7,15.217391304347828,-0.7314558725000087,-7.913416003750012,-11.32787728750001,60.86956521739131,-12.734538388070515,1,14,3,21.428571428571427,-1.8928038675000036,-6.892772829000003,-7.137609735000017,71.42857142857143,-9.342304256538291,0
12,validation,False,position-stop/stop12-validation,19,10,52.63157894736842,10.306962152499999,-3.027060634999974,-6.5945383699999915,26.31578947368421,-8.934001753108644,0,3,0,0,-2.1927672800000186,-5.099066700000008,-5.825641555000005,66.66666666666666,-8.660266645739966,0
12,confirmation,False,position-stop/stop12-confirmation,58,41,70.6896551724138,12.549257887250022,1.021720260200003,-6.463527869500007,6.896551724137931,-8.634477562624099,2,4,1,25,2.9709983287500075,1.4615089553500038,0.839960083000002,0,-8.634477562624099,1
16,development,False,position-stop/stop16-development,46,7,15.217391304347828,-0.7314558725000087,-7.675040891250006,-12.094463855000015,63.04347826086957,-13.488964115480806,0,14,3,21.428571428571427,-1.8928038675000036,-5.709180985000008,-7.137609735000017,71.42857142857143,-8.091638498097954,0
16,validation,False,position-stop/stop16-validation,19,11,57.89473684210527,10.999855610000008,-3.000056667500013,-6.461399707499993,21.052631578947366,-9.15749093214071,0,3,0,0,0.8925793635000012,-1.928830451300012,-2.6341829050000154,33.33333333333333,-9.095996549225049,0
16,confirmation,False,position-stop/stop16-confirmation,58,40,68.96551724137932,12.471768131250005,0.24379214579999597,-7.4335517875000034,10.344827586206897,-10.171888373393244,2,4,1,25,2.85702898875001,-0.10384481309997784,-1.2985715804999742,25,-8.634477562624099,1
