stage,diagnostic,slippageBps,seed,rebalanceOffsetBars,reused,passes,failureToSuccess,successToFailure,returnImproved,returnWorsened,unchangedResults,extraFills,extraCostsKrw,count,targetHits,targetFrequencyPct,medianPct,p10Pct,worstPct,lossFrequencyPct,worstDrawdownPct,unclosed,nonoverlapping_count,nonoverlapping_targetHits,nonoverlapping_targetFrequencyPct,nonoverlapping_medianPct,nonoverlapping_p10Pct,nonoverlapping_worstPct,nonoverlapping_lossFrequencyPct,nonoverlapping_worstDrawdownPct,nonoverlapping_unclosed
development,development,5,204,0,False,False,1,0,4,4,38,-7,-1355953.7170000002,46,17,36.95652173913043,-0.42200947725001825,-15.14438861774999,-18.925231098500017,52.17391304347826,-20.66732349732692,2,14,6,42.857142857142854,0.10340963899999056,-11.345018409750011,-16.237232430000002,50.0,-16.492886949303642,1
earlier,earlier,5,204,0,False,False,0,0,3,2,19,-15,-1747859.4494999996,24,5,20.833333333333336,-5.919683406249998,-15.661133498800005,-18.4603474225,62.5,-18.713232883864183,1,2,0,0.0,-14.591756292000008,-15.561987142400005,-15.804544855000003,100.0,-16.55836663550001,0
validation,extra25,5,204,0,False,False,0,0,0,1,17,-1,-128008.49750000006,18,9,50.0,10.355184077500002,-15.718977237249998,-18.458496435000004,44.44444444444444,-18.88832901061549,0,2,1,50.0,3.3025215667500047,-8.57474829984998,-11.544065766499978,50.0,-18.756183809984293,0
validation,cost,10,204,0,False,True,0,0,3,0,16,-1,-242214.05550000002,19,18,94.73684210526315,11.921640992499993,10.696832023500008,-14.05504273,5.263157894736842,-16.772257267852297,0,3,2,66.66666666666666,11.638534357499996,-8.916327312500002,-14.05504273,33.33333333333333,-16.772257267852297,0
validation,cost,20,204,0,False,True,0,0,2,1,16,-1,-516097.12399999984,19,18,94.73684210526315,13.601596983000007,10.586673283699998,-14.15954426999999,5.263157894736842,-16.760184119995337,0,3,2,66.66666666666666,11.436407594999976,-9.040353896999996,-14.15954426999999,33.33333333333333,-16.760184119995337,0
confirmation,extra25,5,204,0,False,True,0,0,1,0,12,0,-29978.76000000001,13,9,69.23076923076923,11.822398310000004,-12.964771156,-16.60184175749999,30.76923076923077,-17.737128162499992,0,3,2,66.66666666666666,11.822398310000004,-3.6383379380000136,-7.503522000000018,33.33333333333333,-17.029608662636043,0
confirmation,cost,10,204,0,False,True,0,0,0,1,57,-1,-82822.3350000002,58,39,67.24137931034483,11.98679692500001,-10.985660531450009,-17.211133227499985,31.03448275862069,-22.12028320910854,0,4,3,75.0,11.428317275,-3.8612218277499952,-10.221755897499996,25.0,-21.01019227767733,0
confirmation,cost,20,204,0,False,True,0,0,0,1,57,-1,-106219.15749999997,58,40,68.96551724137932,12.013564568749992,-11.19022133619999,-17.373971924999985,31.03448275862069,-22.12708092448429,0,4,3,75.0,11.052002922499993,-4.103425243499997,-10.460689739999996,25.0,-21.009304141949304,0
validation,execution,5,204,2,False,True,0,0,4,0,15,-2,-571739.2279999999,19,18,94.73684210526315,11.972501135000012,10.385324337000018,-15.277595124999998,5.263157894736842,-17.3692201875,0,3,2,66.66666666666666,11.810733257499994,-9.859929448499999,-15.277595124999998,33.33333333333333,-17.3692201875,0
confirmation,execution,5,204,2,False,True,0,0,0,1,57,-1,-82464.24499999988,58,40,68.96551724137932,12.397323935000005,-13.5382347703,-17.186758227499986,31.03448275862069,-22.114609391012287,0,4,3,75.0,12.707847310000009,-1.8593808836249899,-7.140591963749987,25.0,-21.294599776178615,0
