variant,stage,reused,passes,formationDays,topN,rebalanceBars,retentionRank,count,targetHits,targetFrequencyPct,medianPct,p10Pct,worstPct,lossFrequencyPct,worstDrawdownPct,unclosed,nonoverlapping_count,nonoverlapping_targetHits,nonoverlapping_targetFrequencyPct,nonoverlapping_medianPct,nonoverlapping_p10Pct,nonoverlapping_worstPct,nonoverlapping_lossFrequencyPct,nonoverlapping_worstDrawdownPct,nonoverlapping_unclosed
baseline,validation,True,True,20,5,20,10,19,18,94.73684210526315,11.972501135000012,10.741522483500013,-14.05504273,5.263157894736842,-16.772257267852297,0,3,2,66.66666666666666,11.684146132499995,-8.907204957500001,-14.05504273,33.33333333333333,-16.772257267852297,0
baseline,confirmation,True,True,20,5,20,10,58,40,68.96551724137932,12.079500562500012,-10.961597131450013,-17.186758227499986,31.03448275862069,-22.114609391012287,0,4,3,75.0,11.505945267500007,-3.8171803147499848,-10.174003897499983,25.0,-21.005317080936713,0
formation21,validation,False,True,21,5,20,10,19,17,89.47368421052632,12.79800669750002,5.914693711200006,-15.370566384999995,10.526315789473683,-16.772257267852297,0,3,2,66.66666666666666,11.684146132499995,-8.907204957500001,-14.05504273,33.33333333333333,-16.772257267852297,0
formation21,confirmation,False,True,21,5,20,10,58,42,72.41379310344827,12.632413839999991,-12.212888969299996,-17.46992289,27.586206896551722,-23.76969210527853,0,4,3,75.0,11.755201218749988,-4.681255944,-11.539537477499994,25.0,-23.58888842922657,0
formation25,validation,False,True,25,5,20,10,19,16,84.21052631578947,11.663883172499979,5.045204110000007,-16.97797175500001,10.526315789473683,-18.994696310000002,0,3,2,66.66666666666666,13.384450405000003,-10.905487323000006,-16.97797175500001,33.33333333333333,-18.994696310000002,0
formation25,confirmation,False,True,25,5,20,10,58,39,67.24137931034483,12.171794245000001,-12.962396435549996,-18.801065260000016,32.758620689655174,-26.763198651973397,0,4,3,75.0,11.939604574999995,-5.429027923049994,-12.765843181499992,25.0,-22.16162043909886,0
top4,validation,False,True,20,4,20,10,19,17,89.47368421052632,12.793606272499991,8.235839856600002,-15.020554014999998,10.526315789473683,-17.051084423751718,0,3,2,66.66666666666666,11.752234927500016,-9.665996226499995,-15.020554014999998,33.33333333333333,-17.051084423751718,0
top4,confirmation,False,True,20,4,20,10,58,41,70.6896551724138,12.695433863749994,-10.65990485350001,-20.076393864999996,29.310344827586203,-22.908322741717303,0,4,3,75.0,11.401258068749986,-4.335490607250014,-11.036876602500012,25.0,-22.36835500704758,0
top6,validation,False,True,20,6,20,10,19,18,94.73684210526315,13.698520512499979,10.835368182899998,-13.759603225000006,5.263157894736842,-16.06266008038052,0,3,2,66.66666666666666,13.696847662499989,-8.268313047500007,-13.759603225000006,33.33333333333333,-16.06266008038052,0
top6,confirmation,False,True,20,6,20,10,58,43,74.13793103448276,13.264342502500016,-11.35832151325,-22.888468547499986,25.862068965517242,-25.556381676770854,0,4,3,75.0,12.944994343750016,-3.9874790777499936,-11.138903395,25.0,-22.15537760609223,0
retention7,validation,False,True,20,5,20,7,19,18,94.73684210526315,11.950397680499991,10.741522483500013,-14.05504273,5.263157894736842,-16.772257267852297,0,3,2,66.66666666666666,11.684146132499995,-8.907204957500001,-14.05504273,33.33333333333333,-16.772257267852297,0
retention7,confirmation,False,True,20,5,20,7,58,40,68.96551724137932,12.079500562500012,-10.961597131450013,-17.186758227499986,31.03448275862069,-22.114609391012287,0,4,3,75.0,11.505945267500007,-3.8171803147499848,-10.174003897499983,25.0,-21.005317080936713,0
retention12,validation,False,True,20,5,20,12,19,17,89.47368421052632,11.950397680499991,7.49837420409999,-14.05504273,10.526315789473683,-16.772257267852297,0,3,2,66.66666666666666,11.684146132499995,-8.907204957500001,-14.05504273,33.33333333333333,-16.772257267852297,0
retention12,confirmation,False,True,20,5,20,12,58,40,68.96551724137932,12.079500562500012,-10.961597131450013,-17.186758227499986,31.03448275862069,-22.114609391012287,0,4,3,75.0,11.505945267500007,-3.8171803147499848,-10.174003897499983,25.0,-21.005317080936713,0
