directory,candidate,stage,count,targetHits,targetFrequencyPct,medianPct,p10Pct,worstPct,worstDrawdownPct,unclosed,nonoverlapping_count,nonoverlapping_targetHits,nonoverlapping_medianPct
etf-development,momentum-20-3,development,46,3,6.521739130434782,-0.9917629859999999,-6.3790332122500075,-9.63938134450002,-9.916164661480853,14,14,1,-0.48376220599999353
etf-development,momentum-20-5,development,46,0,0,-0.6848705570000113,-4.887221586125012,-7.514684813500006,-8.444756399389487,15,14,0,-0.2433796603750149
etf-development,momentum-60-3,development,46,3,6.521739130434782,-0.06816755337500369,-4.0670385258749935,-5.50647082700001,-8.447638395013179,17,14,1,-0.12658478550000574
etf-development,momentum-60-5,development,46,2,4.3478260869565215,-0.07905606412498822,-3.189929294249999,-3.6294981932499804,-8.275278211575799,17,14,1,-0.4031576686249927
etf-development,momentum-120-3,development,46,4,8.695652173913043,-0.03115681862499997,-4.575037098249984,-11.727374939750035,-12.002337355685688,13,14,1,-0.18461545312500882
etf-development,momentum-120-5,development,46,1,2.1739130434782608,-0.05932365274999296,-2.8297261135000085,-8.596522962249963,-9.250361005911955,16,14,1,-0.24482983899999922
etf-development,breakout-20,development,46,0,0,-0.26180838100001713,-1.6353558618749986,-3.129719581750001,-5.308509139980111,7,14,0,-0.2166337244999983
etf-development,breakout-40,development,46,0,0,0,-1.220959512124986,-2.935414511750012,-3.850342413648733,2,14,0,-0.3281767259999957
etf-development,breakout-60,development,46,0,0,-0.24502904724998387,-1.4238689048749809,-3.0765515730000192,-3.990341788420493,3,14,0,-0.14980448012499314
recovery-etf-development,recovery-40-2,development,46,2,4.3478260869565215,-0.3573996381249944,-2.8749427963749907,-7.722890845500007,-7.949193139500011,5,14,1,-0.036663720250001974
recovery-etf-development,recovery-40-3,development,46,2,4.3478260869565215,-0.1572109463750082,-2.7895475553750106,-6.0303255019999895,-6.412384621474465,9,14,1,0.227402258874998
recovery-etf-development,recovery-40-4,development,46,1,2.1739130434782608,-0.22502517212498185,-2.3163013263749974,-5.056217065750013,-5.795672722544765,10,14,1,0.17048565324999654
recovery-etf-development,recovery-60-2,development,46,2,4.3478260869565215,-0.4038640477500077,-4.389708666000002,-9.300550918750005,-10.381657781057763,7,14,1,0.05272956599999823
recovery-etf-development,recovery-60-3,development,46,2,4.3478260869565215,-0.3225934121249996,-2.993507434874998,-8.496874045000013,-9.422778472070847,8,14,1,0.033904774999993226
recovery-etf-development,recovery-60-4,development,46,0,0,-0.24169321112499365,-2.441634634500006,-7.474858053999989,-7.754951297135582,10,14,0,0.025338062500002145
recovery-etf-development,recovery-80-2,development,46,2,4.3478260869565215,0,-4.132362307000004,-7.521553397249992,-7.635124586249997,6,14,1,-0.034757888250003255
recovery-etf-development,recovery-80-3,development,46,2,4.3478260869565215,0,-3.089098982874999,-9.370322656750007,-9.443769892750009,7,14,1,-0.02404252975001242
recovery-etf-development,recovery-80-4,development,46,0,0,-0.0010126428750034666,-2.5634992350000108,-7.837624559750022,-7.8933522722500316,8,14,0,-0.01788824225000263
monthly-etf-development,momentum-20-3-monthly,development,46,3,6.521739130434782,-0.8374374398749995,-4.046250176875004,-10.879985614999999,-10.879985614999999,12,14,1,-0.7644353423750028
monthly-etf-development,momentum-20-5-monthly,development,46,0,0,-0.45077301324998875,-3.127742086124996,-7.587520346999998,-8.266201263250005,13,14,0,-0.36958695887499005
monthly-etf-development,momentum-60-3-monthly,development,46,4,8.695652173913043,-0.3066380838750049,-4.258715877249986,-10.879985614999999,-10.879985614999999,11,14,1,-0.18934899949999973
monthly-etf-development,momentum-60-5-monthly,development,46,0,0,-0.12459063850000507,-2.771413790249999,-6.6139528097500015,-7.372981770265241,15,14,0,-0.18086498949999585
monthly-etf-development,momentum-120-3-monthly,development,46,2,4.3478260869565215,0.008475142874997399,-3.564083231875009,-6.516624516750003,-7.93463418528102,11,14,0,-0.01709060412500296
monthly-etf-development,momentum-120-5-monthly,development,46,1,2.1739130434782608,0.0992247329999918,-2.393745486500004,-4.34742281524999,-7.177549216625212,15,14,0,0.10565015087500296
monthly-etf-development,recovery-40-3-monthly,development,46,2,4.3478260869565215,0,-2.168554011249996,-5.678686844000014,-5.678686844000014,5,14,1,-0.11950242450000093
