stage,slippageBps,diagnostic,reused,passes,resumedAccounts,resumptions,failureToSuccess,successToFailure,returnWorsened,extraFills,extraCostsKrw,count,targetHits,targetFrequencyPct,medianPct,p10Pct,worstPct,lossFrequencyPct,worstDrawdownPct,unclosed,nonoverlapping_count,nonoverlapping_targetHits,nonoverlapping_targetFrequencyPct,nonoverlapping_medianPct,nonoverlapping_p10Pct,nonoverlapping_worstPct,nonoverlapping_lossFrequencyPct,nonoverlapping_worstDrawdownPct,nonoverlapping_unclosed
development,5,development,False,False,3,3,2,0,1,30,1785196.18,46,16,34.78260869565217,-0.36370086624998854,-15.14438861774999,-18.925231098500017,52.17391304347826,-20.66732349732692,2,14,6,42.857142857142854,0.1875260752499941,-11.345018409750011,-16.237232430000002,50.0,-16.492886949303642,1
earlier,5,earlier,False,False,1,1,0,0,1,30,2110603.9465,24,5,20.833333333333336,-4.642458041750008,-16.476536004200007,-18.4603474225,62.5,-18.713232883864183,1,2,0,0.0,-14.68229427975002,-15.724955520350024,-15.985620830500025,100.0,-16.55836663550001,0
validation,5,extra25,False,False,0,0,0,0,0,0,0.0,18,9,50.0,10.355184077500002,-15.718977237249998,-18.458496435000004,44.44444444444444,-18.88832901061549,0,2,1,50.0,3.3025215667500047,-8.57474829984998,-11.544065766499978,50.0,-18.756183809984293,0
validation,10,cost,False,True,3,3,3,0,0,30,2236560.4225,19,18,94.73684210526315,11.786342295000019,10.696832023500008,-14.05504273,5.263157894736842,-16.772257267852297,0,3,2,66.66666666666666,11.638534357499996,-8.916327312500002,-14.05504273,33.33333333333333,-16.772257267852297,0
validation,20,cost,False,True,3,3,3,0,0,30,2931516.1475,19,18,94.73684210526315,13.601596983000007,10.586673283699998,-14.15954426999999,5.263157894736842,-16.760184119995337,0,3,2,66.66666666666666,11.436407594999976,-9.040353896999996,-14.15954426999999,33.33333333333333,-16.760184119995337,0
confirmation,5,extra25,False,True,1,1,1,0,0,10,490076.91000000003,13,9,69.23076923076923,11.503593194999983,-12.964771156,-16.60184175749999,30.76923076923077,-17.737128162499992,0,3,2,66.66666666666666,11.822398310000004,-3.6383379380000136,-7.503522000000018,33.33333333333333,-17.029608662636043,0
confirmation,10,cost,False,True,5,6,4,0,1,50,2910588.736,58,39,67.24137931034483,11.98679692500001,-10.985660531450009,-17.211133227499985,31.03448275862069,-22.12028320910854,0,4,3,75.0,11.428317275,-3.8612218277499952,-10.221755897499996,25.0,-21.01019227767733,0
confirmation,20,cost,False,True,6,6,6,0,0,60,5088757.934,58,40,68.96551724137932,12.013564568749992,-11.19022133619999,-17.373971924999985,31.03448275862069,-22.12708092448429,0,4,3,75.0,11.052002922499993,-4.103425243499997,-10.460689739999996,25.0,-21.009304141949304,0
validation,5,primary,True,True,3,3,3,0,0,30,2156508.0905000004,19,18,94.73684210526315,11.810733257499994,10.741522483500013,-14.05504273,5.263157894736842,-16.772257267852297,0,3,2,66.66666666666666,11.684146132499995,-8.907204957500001,-14.05504273,33.33333333333333,-16.772257267852297,0
confirmation,5,primary,True,True,4,4,4,0,0,40,2172534.0039999997,58,40,68.96551724137932,12.079500562500012,-10.961597131450013,-17.186758227499986,31.03448275862069,-22.114609391012287,0,4,3,75.0,11.505945267500007,-3.8171803147499848,-10.174003897499983,25.0,-21.005317080936713,0
