variant,stage,reused,passes,formationDays,topN,rebalanceBars,count,targetHits,targetFrequencyPct,medianPct,p10Pct,worstPct,lossFrequencyPct,worstDrawdownPct,unclosed,nonoverlapping_count,nonoverlapping_targetHits,nonoverlapping_targetFrequencyPct,nonoverlapping_medianPct,nonoverlapping_p10Pct,nonoverlapping_worstPct,nonoverlapping_lossFrequencyPct,nonoverlapping_worstDrawdownPct,nonoverlapping_unclosed
baseline,validation,True,True,20,5,20,19,18,94.73684210526315,11.810733257499994,10.741522483500013,-14.05504273,5.263157894736842,-16.772257267852297,0,3,2,66.66666666666666,11.684146132499995,-8.907204957500001,-14.05504273,33.33333333333333,-16.772257267852297,0
baseline,confirmation,True,True,20,5,20,58,40,68.96551724137932,12.079500562500012,-10.961597131450013,-17.186758227499986,31.03448275862069,-22.114609391012287,0,4,3,75.0,11.505945267500007,-3.8171803147499848,-10.174003897499983,25.0,-21.005317080936713,0
formation21,validation,False,True,21,5,20,19,17,89.47368421052632,12.870973331249957,5.914693711200006,-15.370566384999995,10.526315789473683,-16.772257267852297,0,3,2,66.66666666666666,11.684146132499995,-8.907204957500001,-14.05504273,33.33333333333333,-16.772257267852297,0
formation21,confirmation,False,True,21,5,20,58,42,72.41379310344827,12.632413839999991,-12.212888969299996,-17.46992289,27.586206896551722,-23.76969210527853,0,4,3,75.0,11.755201218749988,-4.681255944,-11.539537477499994,25.0,-23.58888842922657,0
formation25,validation,False,True,25,5,20,19,16,84.21052631578947,11.424937075000008,5.045204110000007,-16.97797175500001,10.526315789473683,-18.994696310000002,0,3,2,66.66666666666666,13.384450405000003,-10.905487323000006,-16.97797175500001,33.33333333333333,-18.994696310000002,0
formation25,confirmation,False,True,25,5,20,58,39,67.24137931034483,12.330136569999993,-12.962396435549996,-18.801065260000016,32.758620689655174,-26.763198651973397,0,4,3,75.0,12.580637564999996,-5.279389786049995,-12.765843181499992,25.0,-22.16162043909886,0
top4,validation,False,True,20,4,20,19,17,89.47368421052632,12.793606272499991,8.235839856600002,-15.020554014999998,10.526315789473683,-17.051084423751718,0,3,2,66.66666666666666,11.752234927500016,-9.665996226499995,-15.020554014999998,33.33333333333333,-17.051084423751718,0
top4,confirmation,False,True,20,4,20,58,41,70.6896551724138,12.42287046999999,-10.65990485350001,-20.076393864999996,29.310344827586203,-22.908322741717303,0,4,3,75.0,11.401258068749986,-4.335490607250014,-11.036876602500012,25.0,-22.36835500704758,0
top6,validation,False,True,20,6,20,19,17,89.47368421052632,13.698520512499979,7.137638305499995,-13.759603225000006,10.526315789473683,-16.39517575216597,0,3,2,66.66666666666666,13.696847662499989,-8.268313047500007,-13.759603225000006,33.33333333333333,-16.06266008038052,0
top6,confirmation,False,True,20,6,20,58,43,74.13793103448276,13.264342502500016,-11.35832151325,-22.888468547499986,25.862068965517242,-25.556381676770854,0,4,3,75.0,12.944994343750016,-3.9874790777499936,-11.138903395,25.0,-22.15537760609223,0
rebalance15,validation,False,True,20,5,15,19,18,94.73684210526315,14.531495884000002,10.26606020510001,-14.05504273,5.263157894736842,-16.772257267852297,0,3,2,66.66666666666666,11.42847996249996,-8.958338191500008,-14.05504273,33.33333333333333,-16.772257267852297,0
rebalance15,confirmation,False,False,20,5,15,58,39,67.24137931034483,12.736899812500003,-10.961597131450013,-19.695944249999997,32.758620689655174,-23.48577632287805,0,4,2,50.0,1.325844915000002,-9.63091819274999,-10.174003897499983,50.0,-21.005317080936713,0
rebalance25,validation,False,True,20,5,25,19,17,89.47368421052632,12.096280153499993,10.900647203200009,-14.05504273,5.263157894736842,-16.772257267852297,0,3,2,66.66666666666666,18.12130315749998,-7.619773552500004,-14.05504273,33.33333333333333,-16.772257267852297,0
rebalance25,confirmation,False,True,20,5,25,58,37,63.793103448275865,11.62206548875,-11.965621009999989,-19.578846549999984,34.48275862068966,-27.3003530160153,0,4,3,75.0,10.628003176250001,-4.049623235999989,-10.174003897499983,25.0,-21.005317080936713,0
