phase,stage,seed,rebalanceOffsetBars,passes,resumedAccounts,resumptions,failureToSuccess,successToFailure,returnImproved,returnWorsened,extraFills,extraCostsKrw,count,targetHits,targetFrequencyPct,medianPct,p10Pct,worstPct,lossFrequencyPct,worstDrawdownPct,unclosed,nonoverlapping_count,nonoverlapping_targetHits,nonoverlapping_targetFrequencyPct,nonoverlapping_medianPct,nonoverlapping_p10Pct,nonoverlapping_worstPct,nonoverlapping_lossFrequencyPct,nonoverlapping_worstDrawdownPct,nonoverlapping_unclosed
primary,validation,204,0,True,3,3,3,0,3,0,30,2156508.0905000004,19,18,94.73684210526315,11.810733257499994,10.741522483500013,-14.05504273,5.263157894736842,-16.772257267852297,0,3,2,66.66666666666666,11.684146132499995,-8.907204957500001,-14.05504273,33.33333333333333,-16.772257267852297,0
primary,confirmation,204,0,True,4,4,4,0,4,0,40,2172534.0039999997,58,40,68.96551724137932,12.079500562500012,-10.961597131450013,-17.186758227499986,31.03448275862069,-22.114609391012287,0,4,3,75.0,11.505945267500007,-3.8171803147499848,-10.174003897499983,25.0,-21.005317080936713,0
primary,validation,204,2,True,3,3,3,0,3,0,30,2055378.7410000004,19,18,94.73684210526315,11.810733257499994,10.385324337000018,-15.277595124999998,5.263157894736842,-17.3692201875,0,3,2,66.66666666666666,11.810733257499994,-9.859929448499999,-15.277595124999998,33.33333333333333,-17.3692201875,0
primary,confirmation,204,2,True,3,3,3,0,3,0,30,1639941.5039999997,58,40,68.96551724137932,12.397323935000005,-13.5382347703,-17.186758227499986,31.03448275862069,-22.114609391012287,0,4,3,75.0,12.707847310000009,-1.8593808836249899,-7.140591963749987,25.0,-21.294599776178615,0
primary,validation,204,4,True,1,1,0,0,0,1,10,605173.5655,19,16,84.21052631578947,11.950397680499991,8.658930857150002,-10.313948955000019,5.263157894736842,-14.695370305878175,0,3,3,100.0,12.26967701149999,11.6299362743,11.470001090000004,0.0,-9.154479533549875,0
primary,confirmation,204,4,True,5,5,5,0,5,0,50,2582288.284,58,42,72.41379310344827,13.022092667499995,-12.002901723499983,-20.354732480000003,27.586206896551722,-22.114609391012287,0,4,3,75.0,11.399301682500006,-4.636742594749978,-11.352638082499977,25.0,-21.28299707666075,0
conditional,validation,204,1,True,4,4,4,0,4,0,40,2754077.5415000003,19,19,100.0,12.541172180000014,11.081818860300006,10.874724730000018,0.0,-14.241300759999987,0,3,3,100.0,17.527434985,15.197932766200006,14.615557211500008,0.0,-14.241300759999987,0
conditional,confirmation,204,1,True,4,4,4,0,4,0,40,2172534.0039999997,58,42,72.41379310344827,13.022092667499995,-11.3465816685,-20.354732480000003,27.586206896551722,-22.114609391012287,0,4,3,75.0,13.022333325000002,-2.8392550147499973,-9.444850297499997,25.0,-21.403448206102414,0
conditional,validation,204,3,True,1,1,0,0,0,1,10,612384.6375,19,18,94.73684210526315,11.950397680499991,10.385324337000018,9.364621693750008,0.0,-13.939217501398094,0,3,3,100.0,12.267950682000016,11.479621531200003,11.2825392435,0.0,-13.939217501398094,0
conditional,confirmation,204,3,True,3,3,3,0,3,0,30,1639941.5039999997,58,42,72.41379310344827,12.421118772500005,-12.002901723499983,-20.354732480000003,27.586206896551722,-22.114609391012287,0,4,3,75.0,10.541806197500016,-0.06620820474999167,-4.448871572499991,25.0,-21.037891469407867,0
conditional,validation,205,0,True,3,3,3,0,3,0,30,2176837.7855,19,18,94.73684210526315,12.561145250000006,10.793544598000015,-14.109948735,5.263157894736842,-16.788762524751288,0,3,2,66.66666666666666,11.42777422750003,-9.002404142499994,-14.109948735,33.33333333333333,-16.788762524751288,0
conditional,confirmation,205,0,True,6,6,5,0,5,1,58,3133690.437,58,41,70.6896551724138,12.368159639999998,-11.180560982150004,-17.186758227499976,29.310344827586203,-22.141872521596937,0,4,3,75.0,11.312068130000007,-3.703745145000001,-10.011953655000006,25.0,-20.967102598366083,0
conditional,validation,206,0,True,2,2,2,0,2,0,20,1492509.7480000001,19,18,94.73684210526315,11.518153406499977,10.568975010799994,-14.373433879999997,5.263157894736842,-17.147718264360513,0,3,2,66.66666666666666,11.543651422500002,-9.190016819499997,-14.373433879999997,33.33333333333333,-17.147718264360513,0
conditional,confirmation,206,0,True,6,6,5,0,5,1,58,3127459.9395,58,40,68.96551724137932,11.90135657625,-11.3465816685,-17.186758227499976,31.03448275862069,-22.113938811761567,0,4,3,75.0,11.312068129999997,-3.827378397749988,-10.188572587499989,25.0,-21.10300264419216,0
