directory,slippageBps,seed,candidate,stage,uncertainActionAccounts,count,targetHits,targetFrequencyPct,medianPct,p10Pct,worstPct,lossFrequencyPct,worstDrawdownPct,unclosed,nonoverlapping_count,nonoverlapping_targetHits,nonoverlapping_targetFrequencyPct,nonoverlapping_medianPct,nonoverlapping_p10Pct,nonoverlapping_worstPct,nonoverlapping_lossFrequencyPct,nonoverlapping_worstDrawdownPct,nonoverlapping_unclosed,majorityData_count,majorityData_targetHits,majorityData_targetFrequencyPct,majorityData_medianPct,majorityData_p10Pct,majorityData_worstPct,majorityData_lossFrequencyPct,majorityData_worstDrawdownPct,majorityData_unclosed
value/development,5,204,lowper-3-5,development,2,46,6,13.043478260869565,0,-9.721106351250008,-12.589510712500008,45.65217391304348,-12.589510712500008,1,14,2,14.285714285714285,-2.306322923749998,-9.898501009750003,-12.589510712500008,50,-12.589510712500008,1,29,5,17.24137931034483,-4.612645847499996,-9.271269814500007,-12.589510712500008,65.51724137931035,-12.589510712500008,1
value/development,5,204,lowper-3-20,development,1,46,5,10.869565217391305,0,-8.109998782500005,-13.235726879999998,36.95652173913043,-13.44409917104057,1,14,2,14.285714285714285,0,-10.614745143499995,-12.544334835000004,35.714285714285715,-12.544334835000004,1,29,4,13.793103448275861,-1.1422362849999979,-8.4913052775,-12.544334835000004,51.724137931034484,-12.544334835000004,1
value/development,5,204,lowper-5-5,development,2,46,5,10.869565217391305,0,-9.5220714075,-11.551909184999998,41.30434782608695,-12.386740671545516,1,14,1,7.142857142857142,-0.3169583512499907,-9.765340180750007,-10.69357406999999,50,-10.935024050821717,1,29,5,17.24137931034483,-0.814438875000012,-9.612912431999996,-10.69357406999999,58.620689655172406,-12.386740671545516,1
value/development,5,204,lowper-5-20,development,1,46,4,8.695652173913043,0,-9.486139533749999,-11.709085099999994,41.30434782608695,-12.004326354061002,1,14,1,7.142857142857142,-0.40433783375000143,-10.489412268250012,-11.47039165249999,50,-11.47039165249999,1,29,4,13.793103448275861,-2.376567935000007,-9.509069167999986,-11.47039165249999,58.620689655172406,-12.004326354061002,1
value/development,5,204,lowper-8-5,development,2,46,4,8.695652173913043,0,-8.358293687499994,-10.879523834999993,36.95652173913043,-11.724765900409784,1,14,1,7.142857142857142,0,-9.451560443749997,-10.630763629999995,35.714285714285715,-10.938983109999988,1,29,3,10.344827586206897,-0.5489859249999784,-8.465352210999988,-10.630763629999995,51.724137931034484,-11.724765900409784,1
value/development,5,204,lowper-8-20,development,1,46,3,6.521739130434782,0,-9.015503662499992,-11.311514864999994,32.608695652173914,-11.311514864999994,1,14,0,0,0,-9.06881648549999,-10.030620490000008,28.57142857142857,-10.123817049999994,1,29,3,10.344827586206897,0.7744082175000111,-9.585987368999996,-10.030620490000008,44.827586206896555,-11.262784251731684,1
value/validation,5,204,lowper-3-20,validation,0,45,7,15.555555555555555,-4.239090020000013,-10.807845711999994,-13.73628953999999,68.88888888888889,-13.73628953999999,0,13,1,7.6923076923076925,-4.3597825550000024,-11.453479734999998,-13.73628953999999,76.92307692307693,-13.73628953999999,0,45,7,15.555555555555555,-4.239090020000013,-10.807845711999994,-13.73628953999999,68.88888888888889,-13.73628953999999,0
value/validation,5,204,lowper-5-5,validation,0,45,8,17.77777777777778,-3.8623432699999793,-11.00154357799999,-12.545067920000019,62.22222222222222,-13.531832269717325,0,13,3,23.076923076923077,-3.8623432699999793,-10.326185760400003,-11.169328694999992,69.23076923076923,-12.933197471358104,0,45,8,17.77777777777778,-3.8623432699999793,-11.00154357799999,-12.545067920000019,62.22222222222222,-13.531832269717325,0
value/validation,5,204,lowper-5-20,validation,0,45,9,20,-2.156410000000031,-10.60530189300001,-17.81356821250001,53.333333333333336,-20.52478942062144,0,13,2,15.384615384615385,-2.1711214350000008,-10.487948097500011,-11.901654644999994,61.53846153846154,-12.399594025196858,0,45,9,20.0,-2.156410000000031,-10.60530189300001,-17.81356821250001,53.333333333333336,-20.52478942062144,0
value/validation,5,204,lowper-8-20,validation,2,45,9,20,-2.1830764550000104,-9.904991587799993,-18.032738590000008,64.44444444444444,-20.755528439374793,1,13,2,15.384615384615385,-4.320353832500013,-9.214517765000021,-10.387230867500008,76.92307692307693,-12.345747312384258,0,45,9,20.0,-2.1830764550000104,-9.904991587799993,-18.032738590000008,64.44444444444444,-20.755528439374793,1
value/confirmation,5,204,lowper-3-20,confirmation,0,29,9,31.03448275862069,2.1088225299999985,-10.025609055000002,-13.722149844999997,37.93103448275862,-16.60028937989846,0,9,3,33.33333333333333,2.6525657084999876,-11.081677590499996,-13.586108772499994,44.44444444444444,-16.583848065358097,0,29,9,31.03448275862069,2.1088225299999985,-10.025609055000002,-13.722149844999997,37.93103448275862,-16.60028937989846,0
value/confirmation,5,204,lowper-5-5,confirmation,0,29,11,37.93103448275862,4.2897268990000015,-9.235093066500003,-16.587250620499994,41.37931034482759,-16.795723061222134,0,9,3,33.33333333333333,4.138542261500011,-11.2729684461,-16.587250620499994,44.44444444444444,-16.795723061222134,0,29,11,37.93103448275862,4.2897268990000015,-9.235093066500003,-16.587250620499994,41.37931034482759,-16.795723061222134,0
