directory,candidate,condition,count,targetHits,targetFrequencyPct,medianPct,p10Pct,worstPct,lossFrequencyPct,worstDrawdownPct,unclosed,nonoverlapping_count,nonoverlapping_targetHits,nonoverlapping_targetFrequencyPct,nonoverlapping_medianPct,nonoverlapping_p10Pct,nonoverlapping_worstPct,nonoverlapping_lossFrequencyPct,nonoverlapping_worstDrawdownPct,nonoverlapping_unclosed
value/development,lowper-3-20,all,46,5,10.869565217391305,0.0,-8.109998782500005,-13.235726879999998,36.95652173913043,-13.44409917104057,1,14,2,14.285714285714285,0.0,-10.614745143499995,-12.544334835000004,35.714285714285715,-12.544334835000004,1
value/development,lowper-3-20,export_growth,12,2,16.666666666666664,4.263142720000001,-7.689440235000009,-13.235726879999998,25.0,-13.44409917104057,0,6,1,16.666666666666664,6.607757578749995,-10.492783865000005,-13.235726879999998,33.33333333333333,-13.44409917104057,0
value/development,lowper-3-20,recovery,10,1,10.0,-3.8749204250000058,-12.613474039500003,-13.235726879999998,50.0,-13.44409917104057,0,7,1,14.285714285714285,0.0,-10.376384780999997,-13.235726879999998,42.857142857142854,-13.44409917104057,0
value/development,lowper-3-20,export_recovery,2,0,0.0,-10.492783865000005,-12.687138276999999,-13.235726879999998,100.0,-13.44409917104057,0,2,0,0.0,-10.492783865000005,-12.687138276999999,-13.235726879999998,100.0,-13.44409917104057,0
value/development,lowper-3-5,all,46,6,13.043478260869565,0.0,-9.721106351250008,-12.589510712500008,45.65217391304348,-12.589510712500008,1,14,2,14.285714285714285,-2.306322923749998,-9.898501009750003,-12.589510712500008,50.0,-12.589510712500008,1
value/development,lowper-3-5,export_growth,12,3,25.0,0.5691733162500046,-8.546713162250006,-10.672791310000008,41.66666666666667,-11.587339099067373,0,6,2,33.33333333333333,-2.00287790625,-9.822085050000007,-10.672791310000008,50.0,-11.587339099067373,0
value/development,lowper-3-5,recovery,10,1,10.0,-7.003483008749988,-10.864463250250008,-12.589510712500008,60.0,-12.589510712500008,0,7,1,14.285714285714285,-5.4439084474999895,-9.651943798000007,-10.672791310000008,57.14285714285714,-11.587339099067373,0
value/development,lowper-3-5,export_recovery,2,0,0.0,-9.822085050000007,-10.502650058000008,-10.672791310000008,100.0,-11.587339099067373,0,2,0,0.0,-9.822085050000007,-10.502650058000008,-10.672791310000008,100.0,-11.587339099067373,0
value/development,lowper-5-20,all,46,4,8.695652173913043,0.0,-9.486139533749999,-11.709085099999994,41.30434782608695,-12.004326354061002,1,14,1,7.142857142857142,-0.40433783375000143,-10.489412268250012,-11.47039165249999,50.0,-11.47039165249999,1
value/development,lowper-5-20,export_growth,12,2,16.666666666666664,0.5750954312500167,-8.893226856999986,-11.709085099999994,41.66666666666667,-11.709085099999994,0,6,1,16.666666666666664,-1.0258854024999875,-10.603726521249989,-11.709085099999994,66.66666666666666,-11.709085099999994,0
value/development,lowper-5-20,recovery,10,1,10.0,-4.372682736250005,-11.49426099724999,-11.709085099999994,50.0,-11.709085099999994,0,7,1,14.285714285714285,0.0,-10.382654805499989,-11.709085099999994,42.857142857142854,-11.709085099999994,0
value/development,lowper-5-20,export_recovery,2,0,0.0,-10.603726521249989,-11.488013384249992,-11.709085099999994,100.0,-11.709085099999994,0,2,0,0.0,-10.603726521249989,-11.488013384249992,-11.709085099999994,100.0,-11.709085099999994,0
value/development,lowper-5-5,all,46,5,10.869565217391305,0.0,-9.5220714075,-11.551909184999998,41.30434782608695,-12.386740671545516,1,14,1,7.142857142857142,-0.3169583512499907,-9.765340180750007,-10.69357406999999,50.0,-10.935024050821717,1
value/development,lowper-5-5,export_growth,12,2,16.666666666666664,1.0742265025000197,-7.196799124749991,-11.551909184999998,41.66666666666667,-11.551909184999998,0,6,2,33.33333333333333,-0.8952324687499735,-9.709923648749996,-11.551909184999998,66.66666666666666,-11.551909184999998,0
value/development,lowper-5-5,recovery,10,1,10.0,-3.9339690562499974,-10.77940758149999,-11.551909184999998,50.0,-11.551909184999998,0,7,1,14.285714285714285,0.0,-10.534841772000007,-11.551909184999998,42.857142857142854,-11.551909184999998,0
value/development,lowper-5-5,export_recovery,2,0,0.0,-9.709923648749996,-11.183512077749997,-11.551909184999998,100.0,-11.551909184999998,0,2,0,0.0,-9.709923648749996,-11.183512077749997,-11.551909184999998,100.0,-11.551909184999998,0
value/development,lowper-8-20,all,46,3,6.521739130434782,0.0,-9.015503662499992,-11.311514864999994,32.608695652173914,-11.311514864999994,1,14,0,0.0,0.0,-9.06881648549999,-10.030620490000008,28.57142857142857,-10.123817049999994,1
value/development,lowper-8-20,export_growth,12,2,16.666666666666664,3.236815633750001,-4.628925684499987,-11.311514864999994,25.0,-11.311514864999994,0,6,2,33.33333333333333,2.680657961249999,-8.17069240499999,-11.311514864999994,33.33333333333333,-11.311514864999994,0
value/development,lowper-8-20,recovery,10,0,0.0,0.0,-10.158709927500006,-11.311514864999994,40.0,-11.311514864999994,0,7,0,0.0,0.0,-10.542978240000002,-11.311514864999994,42.857142857142854,-11.311514864999994,0
value/development,lowper-8-20,export_recovery,2,0,0.0,-8.17069240499999,-10.683350372999993,-11.311514864999994,100.0,-11.311514864999994,0,2,0,0.0,-8.17069240499999,-10.683350372999993,-11.311514864999994,100.0,-11.311514864999994,0
value/development,lowper-8-5,all,46,4,8.695652173913043,0.0,-8.358293687499994,-10.879523834999993,36.95652173913043,-11.724765900409784,1,14,1,7.142857142857142,0.0,-9.451560443749997,-10.630763629999995,35.714285714285715,-10.938983109999988,1
value/development,lowper-8-5,export_growth,12,2,16.666666666666664,2.38753557125001,-3.8524671369999917,-10.879523834999993,25.0,-10.879523834999993,0,6,2,33.33333333333333,2.1056887337499997,-7.549522219999993,-10.879523834999993,33.33333333333333,-10.879523834999993,0
value/development,lowper-8-5,recovery,10,0,0.0,-2.1097603024999967,-10.655639650499994,-10.879523834999993,50.0,-10.938983109999988,0,7,0,0.0,0.0,-10.306492258499995,-10.879523834999993,42.857142857142854,-10.879523834999993,0
value/development,lowper-8-5,export_recovery,2,0,0.0,-7.549522219999993,-10.213523511999993,-10.879523834999993,100.0,-10.879523834999993,0,2,0,0.0,-7.549522219999993,-10.213523511999993,-10.879523834999993,100.0,-10.879523834999993,0
